,date,hour,station_id,bikes_available,day,weekday_土曜日,weekday_日曜日,weekday_月曜日,weekday_木曜日,weekday_水曜日,weekday_火曜日,weekday_金曜日,predict
24,2013-09-02 00:00:00,0,0,12.0,2,0,0,1,0,0,0,0,6.431026935577393
25,2013-09-02 01:00:00,1,0,11.0,2,0,0,1,0,0,0,0,3.334367275238037
26,2013-09-02 02:00:00,2,0,11.0,2,0,0,1,0,0,0,0,7.46705961227417
27,2013-09-02 03:00:00,3,0,12.0,2,0,0,1,0,0,0,0,8.158378601074219
28,2013-09-02 04:00:00,4,0,12.0,2,0,0,1,0,0,0,0,8.156570434570312
29,2013-09-02 05:00:00,5,0,11.0,2,0,0,1,0,0,0,0,7.9624762535095215
30,2013-09-02 06:00:00,6,0,12.0,2,0,0,1,0,0,0,0,7.985152721405029
31,2013-09-02 07:00:00,7,0,12.0,2,0,0,1,0,0,0,0,7.94229793548584
32,2013-09-02 08:00:00,8,0,11.0,2,0,0,1,0,0,0,0,7.026233196258545
33,2013-09-02 09:00:00,9,0,12.0,2,0,0,1,0,0,0,0,7.347867488861084
34,2013-09-02 10:00:00,10,0,12.0,2,0,0,1,0,0,0,0,7.362703800201416
35,2013-09-02 11:00:00,11,0,12.0,2,0,0,1,0,0,0,0,5.499266624450684
36,2013-09-02 12:00:00,12,0,12.0,2,0,0,1,0,0,0,0,5.109644412994385
37,2013-09-02 13:00:00,13,0,12.0,2,0,0,1,0,0,0,0,7.007755756378174
38,2013-09-02 14:00:00,14,0,12.0,2,0,0,1,0,0,0,0,6.942347526550293
39,2013-09-02 15:00:00,15,0,13.0,2,0,0,1,0,0,0,0,4.038917064666748
40,2013-09-02 16:00:00,16,0,10.0,2,0,0,1,0,0,0,0,6.351264476776123
41,2013-09-02 17:00:00,17,0,12.0,2,0,0,1,0,0,0,0,10.77911376953125
42,2013-09-02 18:00:00,18,0,11.0,2,0,0,1,0,0,0,0,13.828664779663086
43,2013-09-02 19:00:00,19,0,8.0,2,0,0,1,0,0,0,0,12.637476921081543
44,2013-09-02 20:00:00,20,0,11.0,2,0,0,1,0,0,0,0,13.446311950683594
45,2013-09-02 21:00:00,21,0,10.0,2,0,0,1,0,0,0,0,13.472005844116211
46,2013-09-02 22:00:00,22,0,10.0,2,0,0,1,0,0,0,0,12.77033805847168
47,2013-09-02 23:00:00,23,0,10.0,2,0,0,1,0,0,0,0,12.588708877563477
48,2013-09-03 00:00:00,0,0,10.0,3,0,0,0,0,0,1,0,12.382073402404785
49,2013-09-03 01:00:00,1,0,11.0,3,0,0,0,0,0,1,0,12.522439956665039
50,2013-09-03 02:00:00,2,0,11.0,3,0,0,0,0,0,1,0,12.48074722290039
51,2013-09-03 03:00:00,3,0,11.0,3,0,0,0,0,0,1,0,12.4256010055542
52,2013-09-03 04:00:00,4,0,10.0,3,0,0,0,0,0,1,0,12.487653732299805
53,2013-09-03 05:00:00,5,0,11.0,3,0,0,0,0,0,1,0,12.480318069458008
54,2013-09-03 06:00:00,6,0,10.0,3,0,0,0,0,0,1,0,12.359565734863281
55,2013-09-03 07:00:00,7,0,11.0,3,0,0,0,0,0,1,0,11.48730182647705
56,2013-09-03 08:00:00,8,0,11.0,3,0,0,0,0,0,1,0,11.17543888092041
57,2013-09-03 09:00:00,9,0,11.0,3,0,0,0,0,0,1,0,11.123356819152832
58,2013-09-03 10:00:00,10,0,11.0,3,0,0,0,0,0,1,0,10.086478233337402
59,2013-09-03 11:00:00,11,0,11.0,3,0,0,0,0,0,1,0,10.89538860321045
60,2013-09-03 12:00:00,12,0,11.0,3,0,0,0,0,0,1,0,10.97587776184082
61,2013-09-03 13:00:00,13,0,10.0,3,0,0,0,0,0,1,0,12.082700729370117
62,2013-09-03 14:00:00,14,0,11.0,3,0,0,0,0,0,1,0,12.271506309509277
63,2013-09-03 15:00:00,15,0,12.0,3,0,0,0,0,0,1,0,15.507121086120605
64,2013-09-03 16:00:00,16,0,12.0,3,0,0,0,0,0,1,0,16.558767318725586
65,2013-09-03 17:00:00,17,0,12.0,3,0,0,0,0,0,1,0,15.598504066467285
66,2013-09-03 18:00:00,18,0,12.0,3,0,0,0,0,0,1,0,17.58746337890625
67,2013-09-03 19:00:00,19,0,12.0,3,0,0,0,0,0,1,0,20.416858673095703
68,2013-09-03 20:00:00,20,0,12.0,3,0,0,0,0,0,1,0,15.5336275100708
69,2013-09-03 21:00:00,21,0,10.0,3,0,0,0,0,0,1,0,15.35910415649414
70,2013-09-03 22:00:00,22,0,10.0,3,0,0,0,0,0,1,0,14.459420204162598
71,2013-09-03 23:00:00,23,0,9.0,3,0,0,0,0,0,1,0,15.396139144897461
72,2013-09-04 00:00:00,0,0,9.0,4,0,0,0,0,1,0,0,15.390788078308105
73,2013-09-04 01:00:00,1,0,8.0,4,0,0,0,0,1,0,0,15.445475578308105
74,2013-09-04 02:00:00,2,0,9.0,4,0,0,0,0,1,0,0,15.380208969116211
75,2013-09-04 03:00:00,3,0,9.0,4,0,0,0,0,1,0,0,15.533251762390137
76,2013-09-04 04:00:00,4,0,8.0,4,0,0,0,0,1,0,0,15.41810131072998
77,2013-09-04 05:00:00,5,0,9.0,4,0,0,0,0,1,0,0,15.525772094726562
78,2013-09-04 06:00:00,6,0,9.0,4,0,0,0,0,1,0,0,15.53492546081543
79,2013-09-04 07:00:00,7,0,9.0,4,0,0,0,0,1,0,0,14.657541275024414
80,2013-09-04 08:00:00,8,0,9.0,4,0,0,0,0,1,0,0,16.539203643798828
81,2013-09-04 09:00:00,9,0,4.0,4,0,0,0,0,1,0,0,13.923879623413086
82,2013-09-04 10:00:00,10,0,4.0,4,0,0,0,0,1,0,0,11.859233856201172
83,2013-09-04 11:00:00,11,0,3.0,4,0,0,0,0,1,0,0,10.928136825561523
84,2013-09-04 12:00:00,12,0,3.0,4,0,0,0,0,1,0,0,12.553079605102539
85,2013-09-04 13:00:00,13,0,2.0,4,0,0,0,0,1,0,0,13.713144302368164
86,2013-09-04 14:00:00,14,0,1.0,4,0,0,0,0,1,0,0,8.960433006286621
87,2013-09-04 15:00:00,15,0,11.0,4,0,0,0,0,1,0,0,11.654666900634766
88,2013-09-04 16:00:00,16,0,11.0,4,0,0,0,0,1,0,0,13.706951141357422
89,2013-09-04 17:00:00,17,0,13.0,4,0,0,0,0,1,0,0,12.759312629699707
90,2013-09-04 18:00:00,18,0,16.0,4,0,0,0,0,1,0,0,12.868496894836426
91,2013-09-04 19:00:00,19,0,15.0,4,0,0,0,0,1,0,0,13.586669921875
92,2013-09-04 20:00:00,20,0,15.0,4,0,0,0,0,1,0,0,14.593154907226562
93,2013-09-04 21:00:00,21,0,17.0,4,0,0,0,0,1,0,0,14.65616512298584
94,2013-09-04 22:00:00,22,0,13.0,4,0,0,0,0,1,0,0,14.568004608154297
95,2013-09-04 23:00:00,23,0,15.0,4,0,0,0,0,1,0,0,14.335186004638672
96,2013-09-05 00:00:00,0,0,15.0,5,0,0,0,1,0,0,0,14.532733917236328
97,2013-09-05 01:00:00,1,0,15.0,5,0,0,0,1,0,0,0,15.024017333984375
98,2013-09-05 02:00:00,2,0,15.0,5,0,0,0,1,0,0,0,15.39295482635498
99,2013-09-05 03:00:00,3,0,15.0,5,0,0,0,1,0,0,0,15.263065338134766
100,2013-09-05 04:00:00,4,0,15.0,5,0,0,0,1,0,0,0,15.314526557922363
