,date,hour,station_id,bikes_available,day,weekday_土曜日,weekday_日曜日,weekday_月曜日,weekday_木曜日,weekday_水曜日,weekday_火曜日,weekday_金曜日,predict
268632,2014-05-02 00:00:00,0,15,13.0,2,0,0,0,0,0,0,1,13.079595565795898
268633,2014-05-02 01:00:00,1,15,13.0,2,0,0,0,0,0,0,1,12.92109489440918
268634,2014-05-02 02:00:00,2,15,13.0,2,0,0,0,0,0,0,1,12.939275741577148
268635,2014-05-02 03:00:00,3,15,13.0,2,0,0,0,0,0,0,1,12.965091705322266
268636,2014-05-02 04:00:00,4,15,13.0,2,0,0,0,0,0,0,1,12.97287368774414
268637,2014-05-02 05:00:00,5,15,13.0,2,0,0,0,0,0,0,1,13.013400077819824
268638,2014-05-02 06:00:00,6,15,13.0,2,0,0,0,0,0,0,1,13.00074291229248
268639,2014-05-02 07:00:00,7,15,13.0,2,0,0,0,0,0,0,1,13.113319396972656
268640,2014-05-02 08:00:00,8,15,14.0,2,0,0,0,0,0,0,1,14.022162437438965
268641,2014-05-02 09:00:00,9,15,14.0,2,0,0,0,0,0,0,1,13.96373176574707
268642,2014-05-02 10:00:00,10,15,14.0,2,0,0,0,0,0,0,1,14.025520324707031
268643,2014-05-02 11:00:00,11,15,14.0,2,0,0,0,0,0,0,1,14.07895278930664
268644,2014-05-02 12:00:00,12,15,14.0,2,0,0,0,0,0,0,1,14.069689750671387
268645,2014-05-02 13:00:00,13,15,14.0,2,0,0,0,0,0,0,1,14.045150756835938
268646,2014-05-02 14:00:00,14,15,14.0,2,0,0,0,0,0,0,1,13.957202911376953
268647,2014-05-02 15:00:00,15,15,14.0,2,0,0,0,0,0,0,1,13.95005989074707
268648,2014-05-02 16:00:00,16,15,14.0,2,0,0,0,0,0,0,1,14.022003173828125
268649,2014-05-02 17:00:00,17,15,14.0,2,0,0,0,0,0,0,1,13.951372146606445
268650,2014-05-02 18:00:00,18,15,13.0,2,0,0,0,0,0,0,1,13.073341369628906
268651,2014-05-02 19:00:00,19,15,13.0,2,0,0,0,0,0,0,1,12.977912902832031
268652,2014-05-02 20:00:00,20,15,13.0,2,0,0,0,0,0,0,1,13.002339363098145
268653,2014-05-02 21:00:00,21,15,13.0,2,0,0,0,0,0,0,1,12.983153343200684
268654,2014-05-02 22:00:00,22,15,13.0,2,0,0,0,0,0,0,1,12.997148513793945
268655,2014-05-02 23:00:00,23,15,13.0,2,0,0,0,0,0,0,1,13.035486221313477
268656,2014-05-03 00:00:00,0,15,13.0,3,1,0,0,0,0,0,0,13.08884048461914
268657,2014-05-03 01:00:00,1,15,13.0,3,1,0,0,0,0,0,0,12.951839447021484
268658,2014-05-03 02:00:00,2,15,13.0,3,1,0,0,0,0,0,0,12.974873542785645
268659,2014-05-03 03:00:00,3,15,13.0,3,1,0,0,0,0,0,0,12.9920654296875
268660,2014-05-03 04:00:00,4,15,13.0,3,1,0,0,0,0,0,0,13.055960655212402
268661,2014-05-03 05:00:00,5,15,13.0,3,1,0,0,0,0,0,0,13.072074890136719
268662,2014-05-03 06:00:00,6,15,13.0,3,1,0,0,0,0,0,0,12.930082321166992
268663,2014-05-03 07:00:00,7,15,13.0,3,1,0,0,0,0,0,0,12.913152694702148
268664,2014-05-03 08:00:00,8,15,13.0,3,1,0,0,0,0,0,0,12.995702743530273
268665,2014-05-03 09:00:00,9,15,13.0,3,1,0,0,0,0,0,0,12.936799049377441
268666,2014-05-03 10:00:00,10,15,13.0,3,1,0,0,0,0,0,0,13.0636568069458
268667,2014-05-03 11:00:00,11,15,14.0,3,1,0,0,0,0,0,0,13.929288864135742
268668,2014-05-03 12:00:00,12,15,14.0,3,1,0,0,0,0,0,0,13.988631248474121
268669,2014-05-03 13:00:00,13,15,14.0,3,1,0,0,0,0,0,0,13.94793701171875
268670,2014-05-03 14:00:00,14,15,14.0,3,1,0,0,0,0,0,0,14.005328178405762
268671,2014-05-03 15:00:00,15,15,14.0,3,1,0,0,0,0,0,0,13.967082977294922
268672,2014-05-03 16:00:00,16,15,14.0,3,1,0,0,0,0,0,0,13.961257934570312
268673,2014-05-03 17:00:00,17,15,14.0,3,1,0,0,0,0,0,0,13.957672119140625
268674,2014-05-03 18:00:00,18,15,14.0,3,1,0,0,0,0,0,0,13.941530227661133
268675,2014-05-03 19:00:00,19,15,14.0,3,1,0,0,0,0,0,0,14.016683578491211
268676,2014-05-03 20:00:00,20,15,14.0,3,1,0,0,0,0,0,0,14.006301879882812
268677,2014-05-03 21:00:00,21,15,14.0,3,1,0,0,0,0,0,0,14.048083305358887
268678,2014-05-03 22:00:00,22,15,14.0,3,1,0,0,0,0,0,0,13.983318328857422
268679,2014-05-03 23:00:00,23,15,14.0,3,1,0,0,0,0,0,0,13.968803405761719
268680,2014-05-04 00:00:00,0,15,14.0,4,0,1,0,0,0,0,0,14.072236061096191
268681,2014-05-04 01:00:00,1,15,14.0,4,0,1,0,0,0,0,0,14.13105297088623
268682,2014-05-04 02:00:00,2,15,14.0,4,0,1,0,0,0,0,0,14.02292251586914
268683,2014-05-04 03:00:00,3,15,14.0,4,0,1,0,0,0,0,0,13.784101486206055
268684,2014-05-04 04:00:00,4,15,14.0,4,0,1,0,0,0,0,0,14.052373886108398
268685,2014-05-04 05:00:00,5,15,14.0,4,0,1,0,0,0,0,0,13.947471618652344
268686,2014-05-04 06:00:00,6,15,14.0,4,0,1,0,0,0,0,0,14.059819221496582
268687,2014-05-04 07:00:00,7,15,14.0,4,0,1,0,0,0,0,0,13.9641695022583
268688,2014-05-04 08:00:00,8,15,14.0,4,0,1,0,0,0,0,0,14.03115463256836
268689,2014-05-04 09:00:00,9,15,14.0,4,0,1,0,0,0,0,0,13.798968315124512
268690,2014-05-04 10:00:00,10,15,14.0,4,0,1,0,0,0,0,0,14.059429168701172
268691,2014-05-04 11:00:00,11,15,14.0,4,0,1,0,0,0,0,0,13.840099334716797
268692,2014-05-04 12:00:00,12,15,14.0,4,0,1,0,0,0,0,0,13.977212905883789
268693,2014-05-04 13:00:00,13,15,14.0,4,0,1,0,0,0,0,0,13.917509078979492
268694,2014-05-04 14:00:00,14,15,14.0,4,0,1,0,0,0,0,0,13.980125427246094
